YYYYMMDD	HSI_CLOSE
20000103	17369.63
20000104	17072.82
20000105	15846.72
20000106	15153.23
20000107	15405.63
20000110	15848.15
20000111	15862.1
20000112	15714.2
20000113	15633.96
20000114	15542.23
20000117	15574.56
20000118	15789.2
20000119	15275.34
20000120	15215.31
20000121	15108.41
20000124	15167.55
20000125	15103.04
20000126	15427.72
20000127	15917.81
20000128	16185.94
20000131	15532.34
20000201	15653.86
20000202	15789.82
20000203	15968.12
20000208	16228.73
20000209	16819.46
20000210	16845.17
20000211	17380.3
20000214	17188.96
20000215	16688.16
20000216	17043.39
20000217	16981.23
20000218	16599.16
20000221	16322.37
20000222	16255.17
20000223	16376.79
20000224	17058.66
20000225	17200.98
20000228	16984.44
20000229	17169.44
20000301	16843.59
20000302	16936.81
20000303	17285.24
20000306	17758.76
20000307	17865.36
20000308	17951.43
20000309	17637.03
20000310	17831.86
20000313	17096.68
20000314	16929.16
20000315	16747.2
20000316	16359
20000317	17082.99
20000320	17234.46
20000321	17199.98
20000322	17547.04
20000323	17715.58
20000324	17784.57
20000327	18292.86
20000328	18301.69
20000329	18096.37
20000330	17467.15
20000331	17406.54
20000403	16892.93
20000405	16318.44
20000406	16491.39
20000407	16941.68
20000410	16850.74
20000411	16487.66
20000412	16577.09
20000413	16352.56
20000414	16142.76
20000417	14762.37
20000418	15278.32
20000419	15427.2
20000420	15367.14
20000425	15380.01
20000426	15227.39
20000427	15192.87
20000428	15519.3
20000502	15817.76
20000503	15577.47
20000504	15314.07
20000505	15268.64
20000508	14901
20000509	14776.9
20000510	14492.92
20000512	15111.94
20000515	14881.3
20000516	15160.29
20000517	14827.81
20000518	14322.6
20000519	14478.26
20000522	14140.73
20000523	14257.18
20000524	13933.98
20000525	13921.06
20000526	13722.7
20000529	13975.07
20000530	13990.9
20000531	14713.86
20000601	14941.19
20000602	15284.1
20000605	15861.68
20000607	15900.06
20000608	15876.93
20000609	16120.26
20000612	16055.05
20000613	15692.94
20000614	15857.07
20000615	16080.34
20000616	16434.38
20000619	16267.47
20000620	16086.74
20000621	16238.14
20000622	15952.36
20000623	15738.08
20000626	15978.91
20000627	16155.77
20000628	16438.42
20000629	16286.8
20000630	16155.78
20000703	16124.97
20000704	16235.76
20000705	16474.27
20000706	16489.59
20000707	16829.96
20000710	17238.67
20000711	17359.66
20000712	17552.26
20000713	17449.5
20000714	17586.16
20000717	17834.78
20000718	17440.83
20000719	17710.07
20000720	17758.51
20000721	17920.86
20000724	17659.69
20000725	17375.34
20000726	17620.23
20000727	17450.09
20000728	17183.93
20000731	16840.98
20000801	16897.45
20000802	17277.39
20000803	17274.28
20000804	17425.7
20000807	17727.25
20000808	17211.84
20000809	17181.99
20000810	17333.21
20000811	17214.42
20000814	16998.06
20000815	17463.53
20000816	17734.15
20000817	17622.01
20000818	17440
20000821	17501.48
20000822	17668.28
20000823	17427.4
20000824	17439.7
20000825	17236.74
20000828	17019.76
20000829	17240.11
20000830	17095.88
20000831	17097.51
20000901	17333.61
20000904	17726.17
20000905	17595.22
20000906	17605.23
20000907	17431.95
20000908	17275.45
20000911	17007.98
20000912	16629.78
20000914	16395.43
20000915	16249.53
20000918	15560.16
20000919	15677.2
20000920	15665.62
20000921	15164.45
20000922	14612.88
20000925	15428.95
20000926	15290.85
20000927	15444.13
20000928	15415.75
20000929	15648.98
20001003	15725.96
20001004	15878.89
20001005	16184.68
20001009	15693.5
20001010	15554.11
20001011	15127
20001012	15074.8
20001013	14680.5
20001016	14973.4
20001017	14873.43
20001018	14458.52
20001019	14422.52
20001020	15044.53
20001023	15102.36
20001024	14925.93
20001025	15061.14
20001026	14996.24
20001027	14902.46
20001030	14799.9
20001031	14895.34
20001101	15349.01
20001102	15291.54
20001103	15594.12
20001106	15671.15
20001107	15820.79
20001108	15654.13
20001109	15504.8
20001110	15389.39
20001113	14815.69
20001114	15177.52
20001115	15127.4
20001116	15298.35
20001117	15180.85
20001120	15346.66
20001121	15188.3
20001122	14772.51
20001123	14563.51
20001124	14376.9
20001127	14602.76
20001128	14566.22
20001129	14169.06
20001130	13984.39
20001201	14441.43
20001204	14559.24
20001205	14573.21
20001206	15098.95
20001207	15011.52
20001208	15189.33
20001211	15408.54
20001212	15329.6
20001213	15621.73
20001214	15496.99
20001215	14975.53
20001218	15024.53
20001219	15188.04
20001220	14930.72
20001221	14659.32
20001222	14738.21
20001227	14748.36
20001228	14796.55
20001229	15095.53
20010102	14869.94
20010103	14589.58
20010104	15235.03
20010105	15447.61
20010108	15436.53
20010109	15500.59
20010110	15435.79
20010111	15090.77
20010112	15295.42
20010115	15293.76
20010116	15363.15
20010117	15261.48
20010118	15528.75
20010119	15933.55
20010122	16099.27
20010123	16044.21
20010129	16099.82
20010130	15893.07
20010131	16102.35
20010201	16163.99
20010202	16071.29
20010205	15830.84
20010206	15913.24
20010207	16049.47
20010208	15909.4
20010209	15873.28
20010212	15693.11
20010213	15842.72
20010214	15860.42
20010215	15756.37
20010216	15630.31
20010219	15490.96
20010220	15527.36
20010221	15351.51
20010222	15098.64
20010223	15280.56
20010226	15230.22
20010227	14834.73
20010228	14787.87
20010301	14360.56
20010302	13966.43
20010305	14135.26
20010306	14321.05
20010307	14177.36
20010308	14208.95
20010309	14194.35
20010312	13776.72
20010313	13493.03
20010314	13330.84
20010315	13504.17
20010316	13522.04
20010319	13457.69
20010320	13223.86
20010321	13154.44
20010322	12621.85
20010323	12583.36
20010326	12950.49
20010327	12707.9
20010328	12851.41
20010329	12677.89
20010330	12760.64
20010402	12727.3
20010403	12584.22
20010404	12063.71
20010406	12386.61
20010409	12202.1
20010410	12213.67
20010411	12706.43
20010412	12989.47
20010417	12606.45
20010418	12972.8
20010419	13548.95
20010420	13448.13
20010423	13311.5
20010424	13274.61
20010425	13249.55
20010426	13293.11
20010427	13386.04
20010502	13814.24
20010503	13718.14
20010504	13390.99
20010507	13600.78
20010508	13540.81
20010509	13585.14
20010510	13604.8
20010511	13636.61
20010514	13259.17
20010515	13250.09
20010516	13335.95
20010517	13637.87
20010518	13459.18
20010521	13721.27
20010522	13877.95
20010523	13839.1
20010524	13810.6
20010525	13753.99
20010528	13739.07
20010529	13629.61
20010530	13420.13
20010531	13174.41
20010601	13141.38
20010604	13207.49
20010605	13451.87
20010606	13576.01
20010607	13703.43
20010608	13808.89
20010611	13675.49
20010612	13526.68
20010613	13523.31
20010614	13248.89
20010615	13102.5
20010618	12948.78
20010619	13133.66
20010620	12918.71
20010621	13187.45
20010622	13174.02
20010626	12961.97
20010627	13004.21
20010628	12827.82
20010629	13042.53
20010703	13184.75
20010704	13207.53
20010705	12999.48
20010709	12690.68
20010710	12713.9
20010711	12527.9
20010712	12660.2
20010713	12612.79
20010716	12624.53
20010717	12495.25
20010718	12427.19
20010719	12279.82
20010720	12301.68
20010723	12236.45
20010724	12214.1
20010726	12039.82
20010727	12182.17
20010730	12086.66
20010731	12316.69
20010801	12478.74
20010802	12466.37
20010803	12269.08
20010806	12148.81
20010807	12007.19
20010808	11958.01
20010809	11716.77
20010810	11765.81
20010813	11694.29
20010814	11991.01
20010815	12141.63
20010816	11832.44
20010817	11754.81
20010820	11458.7
20010821	11440.35
20010822	11188.57
20010823	11345.38
20010824	11110.3
20010827	11234.72
20010828	11300.53
20010829	11242.41
20010830	11315.63
20010831	11090.48
20010903	10902.64
20010904	11136.86
20010905	10943.14
20010906	10664.32
20010907	10384.2
20010910	10366.32
20010911	10417.36
20010912	9493.62
20010913	9569.21
20010914	9655.45
20010917	9319.35
20010918	9307.9
20010919	9558.15
20010920	9317.98
20010921	8934.2
20010924	9284.5
20010925	9210.06
20010926	9371.75
20010927	9600.79
20010928	9950.7
20011003	9897.14
20011004	10286.39
20011005	10277.38
20011008	9967.83
20011009	10358.93
20011010	10298.24
20011011	10522.61
20011012	10274.13
20011015	10130.59
20011016	10148.49
20011017	10260.81
20011018	9880.61
20011019	9825.84
20011022	9797.54
20011023	10219.84
20011024	10243.46
20011025	10243.46
20011026	10404.74
20011029	10178.09
20011030	10076.43
20011031	10073.97
20011101	10158.85
20011102	10186.06
20011105	10430.72
20011106	10356.05
20011107	10269.79
20011108	10538.62
20011109	10609.25
20011112	10592.45
20011113	10662.84
20011114	10950.04
20011115	11239.39
20011116	11287.37
20011119	11360.26
20011120	11225.79
20011121	11173.92
20011122	11253.3
20011123	11322.36
20011126	11391.96
20011127	11261.54
20011128	11066.19
20011129	11090.74
20011130	11279.25
20011203	11155.15
20011204	11427.28
20011205	11678.44
20011206	11745.84
20011207	11832.18
20011210	11784.92
20011211	11693.05
20011212	11847.06
20011213	11529.54
20011214	11466.11
20011217	11465.78
20011218	11486.93
20011219	11565.23
20011220	11601.14
20011221	11158.1
20011224	11209.78
20011227	11359.5
20011228	11431.59
20011231	11397.21
20020102	11350.85
20020103	11423.52
20020104	11702.15
20020107	11892.64
20020108	11713.71
20020109	11440.72
20020110	11256.07
20020111	11166.46
20020114	11209.43
20020115	11013.59
20020116	10964.09
20020117	11013.84
20020118	10972.96
20020121	11000.25
20020122	10797.69
20020123	10762.14
20020124	10741.46
20020125	10772.96
20020128	10767.46
20020129	11014.24
20020130	10756.96
20020131	10725.3
20020201	10691.25
20020204	10721.32
20020205	10609.19
20020206	10592.39
20020207	10409.68
20020208	10518.99
20020211	10832.74
20020215	10961.88
20020218	11002.81
20020219	10840.49
20020220	10749.06
20020221	10788.9
20020222	10664.94
20020225	10496.02
20020226	10547.13
20020227	10648.71
20020228	10482.55
20020301	10425.31
20020304	10704.12
20020305	10985.84
20020306	11003
20020307	11188.07
20020308	11233.23
20020311	11318.87
20020312	11273.86
20020313	11217.5
20020314	11303.7
20020315	11210.25
20020318	11230.64
20020319	11222.83
20020320	11036.6
20020321	10829.73
20020322	10863.07
20020325	10836.64
20020326	10786.92
20020327	10987.88
20020328	11032.92
20020402	10878.04
20020403	10833.96
20020404	10831.37
20020408	10723.68
20020409	10733.69
20020410	10643.14
20020411	10744.91
20020412	10710.48
20020415	10727.98
20020416	10788.53
20020417	11090.58
20020418	11217.15
20020419	11252.18
20020422	11139.42
20020423	11345.18
20020424	11396.57
20020425	11409.29
20020426	11385.08
20020429	11361.49
20020430	11497.58
20020502	11780.11
20020503	11797.22
20020506	11736.2
20020507	11795.98
20020508	11768.31
20020509	11700.76
20020510	11645.9
20020513	11733.43
20020514	11690.31
20020515	11838.36
20020516	11832.77
20020517	11974.61
20020521	11753.29
20020522	11795.2
20020523	11624.75
20020524	11626.78
20020527	11564.73
20020528	11581.58
20020529	11430.66
20020530	11380.61
20020531	11301.94
20020603	11359.8
20020604	11312.55
20020605	11402.38
20020606	11380.77
20020607	11284.71
20020610	11288.84
20020611	11215.02
20020612	11147.97
20020613	11119.33
20020614	10955.52
20020617	10832.26
20020618	10852.04
20020619	10673.11
20020620	10754.41
